orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
58,"B0000304653398","2025-06-17",13324519,2,72273.55,29441.25,59730.21,0.00,12543.34,0.00000000000,"2077.79",0.00,"28991.40","449.85","","0.00","0.00",085
59,"B0000304653399","2025-06-17",13538454,2,54046.80,22497.00,44666.78,0.00,9380.02,0.00000000000,"1553.79",0.00,"22497.00","0.00","","0.00","0.00",085
60,"B0000304653400","2025-06-17",13690710,2,32941.87,5999.20,27224.68,0.00,5717.18,0.00000000000,"947.05",0.00,"4399.60","1599.60","","0.00","0.00",085
61,"B0000304653401","2025-06-17",13690744,2,48813.28,9778.05,40341.56,0.00,8471.73,0.00000000000,"1403.33",0.00,"2399.70","7378.35","","0.00","0.00",085
62,"B0000304653402","2025-06-17",13777122,2,61227.58,11023.65,50601.31,0.00,10626.27,0.00000000000,"1760.23",0.00,"9899.10","1124.55","","0.00","0.00",085
63,"B0000304653403","2025-06-17",13784820,2,44299.00,16061.55,36610.75,0.00,7688.26,0.00000000000,"1273.55",0.00,"14397.00","1664.55","","0.00","0.00",085
64,"B0000304653404","2025-06-17",20112068,2,85711.90,33728.25,70836.28,0.00,14875.62,0.00000000000,"0.00",0.00,"36526.09","5526.94","","0.00","0.00",085
65,"B0000304653405","2025-06-17",20112165,2,60515.88,22254.90,50013.13,0.00,10502.76,0.00000000000,"1739.77",0.00,"20200.50","2054.40","","0.00","0.00",085
66,"B0000304653406","2025-06-17",20149700,2,53436.82,17187.45,44162.66,0.00,9274.16,0.00000000000,"1536.26",0.00,"13648.50","3538.95","","0.00","0.00",085
67,"B0000304653407","2025-06-17",20149719,2,63558.87,26456.40,52527.99,0.00,11030.88,0.00000000000,"1827.26",0.00,"26456.40","0.00","","0.00","0.00",085
68,"B0000304653408","2025-06-17",20352859,2,57617.30,20127.15,47617.60,0.00,9999.70,0.00000000000,"1656.44",0.00,"17427.90","2699.25","","0.00","0.00",085
69,"B0000304653409","2025-06-17",20493339,2,58062.85,14098.40,47985.83,0.00,10077.02,0.00000000000,"1669.25",0.00,"14098.40","0.00","","0.00","0.00",085
70,"B0000304653410","2025-06-17",20536500,2,22647.91,5499.20,18717.28,0.00,3930.63,0.00000000000,"651.11",0.00,"5499.20","0.00","","0.00","0.00",085
71,"B0000304653411","2025-06-17",20617615,2,45129.94,8758.50,37297.47,0.00,7832.47,0.00000000000,"1297.44",0.00,"6998.80","1759.70","","0.00","0.00",085
72,"B0000304653412","2025-06-17",20733860,2,63946.96,26082.45,52848.73,0.00,11098.23,0.00000000000,"1838.41",0.00,"25707.60","374.85","","0.00","0.00",085
73,"B0000304653413","2025-06-17",20734018,2,47607.12,15746.55,39344.73,0.00,8262.39,0.00000000000,"1368.66",0.00,"12897.60","2848.95","","0.00","0.00",085
74,"B0000304653414","2025-06-17",21041520,2,32488.10,6638.90,26849.67,0.00,5638.43,0.00000000000,"934.00",0.00,"5639.20","999.70","","0.00","0.00",085
75,"B0000304653415","2025-06-17",21079293,2,23164.16,2499.80,19143.93,0.00,4020.23,0.00000000000,"665.95",0.00,"0.00","2499.80","","0.00","0.00",085
76,"B0000304653416","2025-06-17",21079404,2,99396.38,24340.20,82145.77,0.00,17250.61,0.00000000000,"0.00",0.00,"17243.64","16750.44","","0.00","0.00",085
77,"B0000304653417","2025-06-17",21133093,2,44499.41,17772.90,36776.38,0.00,7723.04,0.00000000000,"1279.31",0.00,"17247.90","525.00","","0.00","0.00",085
